,St70,St70,St70,St70,Ch130,Ch130,Ch130,Ch130,A280,A280,A280,A280,Pa654,Pa654,Pa654,Pa654,Vm1084,Vm1084,Vm1084,Vm1084,Vm1748,Vm1748,Vm1748,Vm1748
,Med,Mej,S,Ev,Med,Mej,S,Ev,Med,Mej,S,Ev,Med,Mej,S,Ev,Med,Mej,S,Ev,Med,Mej,S,Ev
Greedy,830.0,830.0,0.0,1.0,7579.0,7579.0,0.0,1.0,3157.0,3157.0,0.0,1.0,43457.0,43457.0,0.0,1.0,301476.0,301476.0,0.0,1.0,408101.0,408101.0,0.0,1.0
Búsqueda Aleatoria,2832.4,2775.0,37.44388393909537,112000.0,38730.2,38041.0,381.2776183074772,208000.0,29516.9,28762.0,406.8246824151925,448000.0,1804369.2,1783474.0,11488.417595319404,1046400.0,7974608.5,7944549.0,21663.223250733285,1734400.0,14125079.3,14069521.0,34143.68385400471,2796800.0
"Búsqueda Local, el mejor",1225.8,1071.0,132.90915861762292,112000.0,23744.2,22211.0,918.0782827914692,208000.0,26414.2,25139.0,762.299561997921,448000.0,1967073.5,1829036.0,59615.671476643714,1046400.0,8412393.2,8274081.0,117801.46411163337,1734400.0,14844292.4,14588539.0,159227.16250843913,2796800.0
"Búsqueda Local, el primer mejor vecino",1090.3,998.0,88.02531201623518,95363.2,14210.7,12473.0,1414.6761741747748,208000.0,9655.0,7517.0,1655.650526731613,448000.0,553849.3,432282.0,90656.02183841218,1046400.0,3594089.0,3014575.0,565192.3830339148,1734400.0,7857851.4,7481105.0,276297.5083219777,2796800.0
Enfriamiento Simulado,1020.3,931.0,64.90856817263975,112001.0,10707.3,9577.0,692.5805288115519,208001.0,6305.7,5849.0,298.2810196218772,448001.0,322668.3,282705.0,24695.93483888931,1046401.0,1277424.6,1177841.0,41676.50795565504,1734401.0,2297841.1,2174382.0,84605.26515195928,2796801.0
Búsqueda Tabú,999.3,911.0,52.5759767701308,112001.0,12430.4,11568.0,406.495647099832,208001.0,3312.8,2964.0,323.2724341274193,448001.0,132818.1,107542.0,59725.08239973852,1046401.0,1820013.5,1703828.0,78136.69307516298,1734401.0,3286075.2,3133754.0,87100.66857735491,2796801.0
